Config,KernelTime (s),Bandwidth (GB/s),Power Usage (W)
bfs210clk_1sms,46.87516370749933,2.5551524756441717,0.7910179897191555
bfs210clk_2sms,23.536221297502742,4.9455663012767666,1.52202097322587
bfs210clk_3sms,15.729409337188937,7.2775099844854925,2.231963201708916
bfs210clk_4sms,11.817637937686756,9.572276517141376,2.92856530830847
bfs210clk_5sms,9.466901179154359,11.839788872817003,3.615412977185543
bfs210clk_6sms,7.89780407699902,14.08581620061753,4.294586025376547
bfs210clk_7sms,6.775872041719665,16.314132578215474,4.967442578288024
bfs210clk_8sms,5.933686833624023,18.527398509845288,5.634938621673725
bfs210clk_9sms,5.278153685834784,20.727589480128348,6.297783108006701
bfs210clk_10sms,4.753371797153202,22.91622962691235,6.9565224175281815
bfs210clk_11sms,4.323743256587177,25.0945300484583,7.611590292626531
bfs210clk_12sms,3.9655213938128506,27.263475894991366,8.263339250054916
bfs210clk_13sms,3.662256969209637,29.423883937824996,8.912061326576199
bfs210clk_14sms,3.402194493711423,31.576442142867915,9.558002328283177
bfs210clk_15sms,3.1767092000110146,33.72173776612036,10.201371939624291
bfs210clk_16sms,2.979329678669695,35.86027784800439,10.842351092511691
bfs210clk_17sms,2.8051051844561385,37.992504511953356,11.481097463791409
bfs210clk_18sms,2.6501836658580595,40.11880661398815,12.117749659040005
bfs210clk_19sms,2.5115229366613963,42.239528768797605,12.752430452413613
bfs210clk_20sms,2.386688422577338,44.35497845059355,13.385249334156104
bfs210clk_21sms,2.2737086450659474,46.465431655405006,14.016304541034946
bfs210clk_22sms,2.1709700846194626,48.57113747106009,14.645684694343274
bfs210clk_23sms,2.077139447139882,50.6723218057662,15.273470135746573
bfs210clk_24sms,1.9911053466855158,52.769190460130304,15.899734027451727
bfs210clk_25sms,1.9119339720094883,54.86193168082498,16.524543266383183
bfs210clk_26sms,1.8388349748173716,56.95071830063682,17.147959250003986
bfs210clk_27sms,1.7711349316483675,59.03570954524795,17.770038522645464
