Config,SetupTime (s),KernelTime (s),TeardownTime (s),SetupBandwidth (GB/s),KernelBandwidth (GB/s),TeardownBandwidth (GB/s)
bfs_1cores,95.2576,16.968171,11.878229000000001,1,1,9.783915995041752
bfs_2cores,95.94135,9.283887,11.935763000000001,1,1,9.760702721331178
bfs_3cores,95.71947,6.87822,11.869309999999999,1,1,9.679063153045561
bfs_4cores,95.41765,5.838842,12.188507999999999,1,1,9.419642546227973
bfs_5cores,95.85787,5.255052,12.595077999999994,1,1,9.143794165890395
bfs_6cores,96.12024,4.809983,12.212777000000006,1,1,9.430828671156574
bfs_7cores,96.80228,4.65991,12.216810000000006,1,1,9.45870097444501
bfs_8cores,95.97453,11.853249,12.536221000000003,1,1,9.321522107013013
bfs_9cores,96.61901,10.734188,12.249802000000006,1,1,9.504726043349137
bfs_10cores,96.33786,5.788669,12.298470999999992,1,1,9.449957546247308
bfs_11cores,96.87649,5.535892,12.301617999999994,1,1,9.428630991178695
bfs_12cores,95.13497,3.411773,11.87125700000001,1,1,9.749909352786474
bfs_13cores,96.40805,2.852602,12.099347999999996,1,1,9.565173665637657
bfs_14cores,95.96984,3.041143,12.291016999999988,1,1,9.418123579686084
bfs_15cores,96.04438,3.240364,12.275255999999999,1,1,9.422025235645041
bfs_16cores,95.34437,3.675031,12.252598999999993,1,1,9.496700312846285
bfs_17cores,96.12908,2.978697,12.158222999999989,1,1,9.558187967673641
bfs_18cores,95.74663,3.129664,12.197706000000002,1,1,9.51962022705948
bfs_19cores,94.85242,3.095442,12.201138000000006,1,1,9.489979066809273
bfs_20cores,95.03157,3.282648,12.223781999999995,1,1,9.47267347822532
bfs_21cores,95.77952,2.872096,12.089383999999995,1,1,9.565443496098466
bfs_22cores,95.77173,2.806281,12.253988999999988,1,1,9.447524187337732
bfs_23cores,96.11599,2.851517,12.19449300000001,1,1,9.482996444567553
bfs_24cores,102.80349,2.844784,12.289726000000005,1,1,9.466449649744831
bfs_25cores,95.94986,2.866584,11.94755600000001,1,1,9.720529565751649
bfs_26cores,95.68028,2.846897,12.330823000000008,1,1,9.424008071251297
bfs_27cores,94.82134,2.828722,12.314937999999998,1,1,9.401138326721192
bfs_28cores,95.00421,2.686823,12.309967000000004,1,1,9.368590548325594
bfs_29cores,96.59321,2.628853,11.992937000000005,1,1,9.621482392978463
bfs_30cores,95.84857,2.576504,12.378926000000007,1,1,9.322721394188797
bfs_31cores,95.89743,4.76334,12.122230000000002,1,1,9.571952835873663
bfs_32cores,98.49592,4.881406,12.464674,1,1,9.285002797376071
heartwall_1cores,0.00082,78.3401,0.20207999999999515,204.8,1,1
heartwall_2cores,0.00164,40.09789,0.20346999999999582,204.8,1,1
heartwall_3cores,0.00112,26.33588,0.19500000000000028,204.8,1,1.0419795705435893
heartwall_4cores,0.00097,20.28213,0.20890000000000342,204.8,1,1.1654486500181722
heartwall_5cores,0.00079,17.2098,0.21540999999999855,204.8,1,1
heartwall_6cores,0.00095,14.14847,0.21458000000000155,204.8,1,1
heartwall_7cores,0.00104,12.61736,0.23260000000000147,204.8,1,1.1179810159931138
heartwall_8cores,0.00095,15.66976,0.222290000000001,204.8,1,1.2463255317432131
heartwall_9cores,0.00089,18.29992,0.22619000000000256,204.8,1,1.2718257862221882
heartwall_10cores,0.00082,16.05914,0.2270399999999988,204.8,1,1.2514669580831639
heartwall_11cores,0.00109,10.15033,0.23258000000000045,204.8,1,1.1391329529968175
heartwall_12cores,0.00085,8.09654,0.24761000000000166,204.8,1,1
heartwall_13cores,0.00108,6.53263,0.24929000000000023,204.8,1,1
heartwall_14cores,0.00081,6.65383,0.24935999999999936,204.8,1,1
heartwall_15cores,0.00092,6.55444,0.2546400000000002,204.8,1,1
